Wall time,Step,Value
1647288379.993882,4999,93.72000122070312
1647288472.285436,9999,94.41999816894531
1647288564.690241,14999,93.80000305175781
1647288657.48976,19999,95.80000305175781
1647288748.500633,24999,91.41999816894531
1647288843.452498,29999,93.18000030517578
1647288936.927944,34999,91.91999816894531
1647289029.564984,39999,89.36000061035156
1647289122.804407,44999,90.63999938964844
1647289215.023634,49999,88.0199966430664
1647289305.666748,54999,89.86000061035156
1647289393.73487,59999,86.62000274658203
1647289481.632222,64999,86.4800033569336
1647289572.475041,69999,85.5
1647289662.446178,74999,84.91999816894531
1647289753.776177,79999,87.4000015258789
1647289844.674381,84999,85.9000015258789
1647289934.993611,89999,85.94000244140625
1647290026.120432,94999,83.76000213623047
1647290117.138846,99999,85.63999938964844
1647290210.792479,104999,81.0999984741211
1647290300.113337,109999,79.04000091552734
1647290389.530587,114999,82.37999725341797
1647290476.908381,119999,80.12000274658203
1647290565.328586,124999,79.4800033569336
1647290654.589717,129999,82.36000061035156
1647290743.5858257,134999,81.4800033569336
1647290832.487528,139999,79.36000061035156
1647290922.051522,144999,83.58000183105469
1647291008.810904,149999,79.37999725341797
1647291097.575444,154999,79.0999984741211
1647291186.077039,159999,83.73999786376953
1647291274.9235437,164999,82.77999877929688
1647291362.84604,169999,82.0199966430664
1647291447.955611,174999,75.54000091552734
1647291537.303421,179999,80.77999877929688
1647291626.477694,184999,78.9800033569336
1647291714.766456,189999,78.27999877929688
1647291802.860903,194999,83.72000122070312
1647291886.971135,199999,80.73999786376953
1647291971.956506,204999,80.55999755859375
1647292063.479933,209999,79.13999938964844
1647292155.096099,214999,80.77999877929688
1647292240.224579,219999,78.5199966430664
1647292323.473278,224999,74.68000030517578
1647292409.079444,229999,78.4800033569336
1647292495.186649,234999,78.83999633789062
1647292582.84112,239999,80.33999633789062
1647292668.809374,244999,79.16000366210938
1647292756.183241,249999,80.73999786376953
