Wall time,Step,Value
1647288379.99539,4999,103.27999877929688
1647288472.286481,9999,102.58000183105469
1647288564.691915,14999,103.19999694824219
1647288657.491223,19999,101.19999694824219
1647288748.501684,24999,105.58000183105469
1647288843.454141,29999,103.81999969482422
1647288936.929375,34999,105.08000183105469
1647289029.566864,39999,107.63999938964844
1647289122.805408,44999,106.36000061035156
1647289215.024909,49999,108.9800033569336
1647289305.667678,54999,107.13999938964844
1647289393.735915,59999,110.37999725341797
1647289481.632888,64999,110.5199966430664
1647289572.47572,69999,111.5
1647289662.448058,74999,112.08000183105469
1647289753.776843,79999,109.5999984741211
1647289844.676056,84999,111.0999984741211
1647289934.994335,89999,111.05999755859375
1647290026.121503,94999,113.23999786376953
1647290117.139824,99999,111.36000061035156
1647290210.79362,104999,115.9000015258789
1647290300.114063,109999,117.95999908447266
1647290389.532415,114999,114.62000274658203
1647290476.909488,119999,116.87999725341797
1647290565.329671,124999,117.5199966430664
1647290654.591219,129999,114.63999938964844
1647290743.586541,134999,115.5199966430664
1647290832.488446,139999,117.63999938964844
1647290922.053722,144999,113.41999816894531
1647291008.812502,149999,117.62000274658203
1647291097.576151,154999,117.9000015258789
1647291186.078801,159999,113.26000213623047
1647291274.925275,164999,114.22000122070312
1647291362.84739,169999,114.9800033569336
1647291447.957215,174999,121.45999908447266
1647291537.304638,179999,116.22000122070312
1647291626.47842,184999,118.0199966430664
1647291714.767504,189999,118.72000122070312
1647291802.861838,194999,113.27999877929688
1647291886.972129,199999,116.26000213623047
1647291971.9571867,204999,116.44000244140625
1647292063.480869,209999,117.86000061035156
1647292155.097872,214999,116.22000122070312
1647292240.225611,219999,118.4800033569336
1647292323.4743922,224999,122.31999969482422
1647292409.080141,229999,118.5199966430664
1647292495.187591,234999,118.16000366210938
1647292582.842411,239999,116.66000366210938
1647292668.810504,244999,117.83999633789062
1647292756.184012,249999,116.26000213623047
